player_id,team_name,short_name,vaep_count,vaep_sum,minutes_played,vaep_rating
28292.0,Watford FC,A. Doucouré,2814,12.552502,3496.8819061833333,0.3230664140126158
7938.0,Manchester United FC,A. Valencia,2402,10.180086,2862.88930835,0.3200290563102221
14763.0,Leicester City FC,S. Okazaki,544,4.888399,1374.8116938833334,0.3200117765760888
230883.0,Newcastle United FC,Ayoze Pérez,1166,9.155786,2598.2123193166667,0.31714909701247485
70083.0,Manchester City FC,Danilo,1428,5.0020146,1424.4980185166667,0.3160280316854463
265673.0,Manchester City FC,Bernardo Silva,1254,5.6627846,1623.1909868166667,0.3139806765730951
160.0,Watford FC,D. Janmaat,1313,6.618044,1897.9727963,0.31382112723822064
32636.0,Everton FC,C. Tosun,376,3.784857,1091.2845733333334,0.31214327987393437
7967.0,Newcastle United FC,J. Shelvey,1794,8.367233,2414.2950547333335,0.31191341916317755
3350.0,Chelsea FC,Fàbregas,2592,9.475487,2741.45564475,0.3110733616556309
8981.0,Watford FC,W. Hughes,582,3.5288825,1022.7298832166666,0.31054086859242325
7905.0,Manchester United FC,R. Lukaku,1009,11.601003,3400.0983129166666,0.3070764765814368
70086.0,Manchester City FC,N. Otamendi,3571,10.590082,3104.0356772166665,0.3070542741730451
3928.0,Leicester City FC,Vicente Iborra,1071,5.000256,1473.1924760666666,0.305474707536532
14808.0,Manchester City FC,İ. Gündoğan,1646,5.394148,1591.2702848833333,0.30508537847467815
25553.0,Chelsea FC,Azpilicueta,3269,11.808144,3489.83949055,0.3045220025258992
14716.0,Germany,J. Boateng,532,1.6474218,487.5264625,0.30412289588224467
12829.0,Leicester City FC,J. Vardy,757,11.905724,3546.7884810666665,0.3021085532556204
3341.0,Spain,Piqué,304,1.2522529,373.52632615,0.30172643406451105
7870.0,Arsenal FC,A. Ramsey,1580,7.9627595,2378.7530447333334,0.30127060816654994
8370.0,West Bromwich Albion FC,C. Brunt,1365,6.7218633,2013.3129319666666,0.30048369669557157
77558.0,Everton FC,G. Sigurðsson,1225,9.2160425,2817.2350045666667,0.2944176990246616
62389.0,Huddersfield Town FC,A. Mooy,2539,10.396527,3191.3516720166667,0.29319471344051773
25785.0,Tottenham Hotspur FC,S. Aurier,1284,4.9161234,1512.30772585,0.29256685215382466
11669.0,AFC Bournemouth,C. Wilson,658,6.706113,2063.7851923333333,0.29244815455626877
8953.0,Southampton FC,C. Austin,361,3.577712,1108.7428067166666,0.29041368082771934
8495.0,Chelsea FC,D. Drinkwater,461,1.7935654,557.3816431833333,0.2896056681321609
8319.0,Liverpool FC,J. Milner,1888,6.041363,1882.1511736333334,0.2888836262819365
8032.0,Chelsea FC,Marcos Alonso,2114,9.523196,2973.0923585333335,0.2882815409431774
8625.0,Chelsea FC,V. Moses,1466,6.862022,2182.1619453333333,0.2830138118463549
215983.0,Southampton FC,S. Boufal,880,3.9964633,1288.2308226,0.27920594302674795
8561.0,West Ham United FC,M. Noble,1690,7.7276654,2506.2868407166666,0.2774981126921565
18550.0,Liverpool FC,E. Can,1934,6.899918,2244.6685555333333,0.2766522537215058
8464.0,Manchester City FC,F. Delph,2048,5.571881,1812.7384959833335,0.2766362991187002
240032.0,Southampton FC,J. Bednarek,232,1.3527704,445.06213883333334,0.2735558324309922
9123.0,Burnley FC,A. Barnes,792,6.920206,2276.8240009166666,0.2735470735681446
7944.0,Everton FC,W. Rooney,1570,7.970368,2625.98707235,0.27316704542679643
9637.0,AFC Bournemouth,J. King,1177,7.79943,2581.3955832666666,0.27192603643696567
214654.0,Huddersfield Town FC,S. Mounié,627,5.810293,1938.3028395000001,0.26978570166902055
13484.0,Tottenham Hotspur FC,D. Alli,1792,10.103785,3371.282163216667,0.2697313939274057
